districtcode,centile,superzip,rank,adultpop,households,college,income,Unemp..Rate,X..in.Unemp.sample
MA2,85.32158,0,2170,4884,2078,0.3585176,100.6107,0.06,6128
MA1,81.09116,0,2803,3946,1614,0.368221,86.8168,0.05,5005
MA2,92.66019,0,1118,3762,1565,0.4486975,116.3659,0.06,5461
MA2,76.05855,0,3589,7192,2993,0.2686318,91.85236,0.06,10349
MA2,44.59286,0,9465,10789,4080,0.159329,64.9328,0.11,13551
MA1,60.03745,0,6170,7002,2879,0.206084,75.48905,0.08,8788
MA5,95.48956,1,719,11948,4491,0.5315534,123.712,0.05,14111
MA2,95.48956,1,719,11948,4491,0.5315534,123.712,0.05,14111
MA2,80.99456,0,2815,4330,1772,0.3441108,90.74744,0.07,6524
MA1,49.82309,0,8275,3946,1446,0.1776482,67.23679,0.07,3700
MA2,49.82309,0,8275,3946,1446,0.1776482,67.23679,0.07,3700
MA2,64.52251,0,5389,5557,2275,0.2373583,76.57306,0.09,7958
MA2,86.96819,0,1925,5356,2294,0.3599701,105.9156,0.02,6793
MA2,76.16861,0,3567,15738,5992,0.3708858,74.49136,0.07,18222
MA2,33.28073,0,12298,11254,4200,0.1417274,57.97375,0.09,15113
MA2,47.52397,0,8791,23498,8084,0.2141884,58.53602,0.1,28868
MA2,31.34513,0,12899,15279,5706,0.2080633,44.94221,0.08,19919
MA2,59.00384,0,6376,13994,4966,0.2402458,67.9952,0.05,16286
MA2,10.63111,0,19931,4812,1887,0.1039069,43.85036,0.09,7049
MA2,2.589489,0,23067,1710,729,0.1473684,21.91014,0.12,2728
MA2,70.37096,0,4437,11661,3855,0.3594031,65.60883,0.1,18501
MA2,10.16704,0,20121,11722,4327,0.1244668,39.72881,0.16,19722
MA2,56.74573,0,6810,1542,611,0.1763943,76.19646,0.14,1909
MA2,90.5235,0,1436,2739,1161,0.4424973,105.2592,0.04,3796
MA5,93.02638,0,1070,22729,8706,0.4978222,109.641,0.06,24840
MA5,70.60644,0,4401,24263,7940,0.3530066,67.1348,0.06,30275
MA3,98.48111,1,NA,302,117,0.7682119,123.9108,0.06,436
MA3,98.87241,1,188,3115,1296,0.7213483,144.584,0.07,3913
MA3,98.63803,1,231,13148,5399,0.6913599,141.6876,0.05,15414
MA5,90.23191,0,1477,10282,4072,0.4558452,101.4841,0.06,12622
MA5,96.90308,1,506,9078,3456,0.5731438,132.1735,0.06,10242
MA6,96.90308,1,506,9078,3456,0.5731438,132.1735,0.06,10242
MA5,82.1541,0,2649,1507,790,0.5076311,65.57222,0.01,995
MA6,82.1541,0,2649,1507,790,0.5076311,65.57222,0.01,995
MA3,98.54984,1,244,2768,1193,0.6730492,142.4852,0.06,3584
MA3,99.85757,1,39,3146,1406,0.834075,186.1369,0.09,3568
MA3,98.79735,1,203,12102,4451,0.6610478,151.7509,0.04,14195
MA5,94.12546,0,NA,285,95,0.3649123,140.5997,0.05,306
MA5,93.47125,0,1006,9017,3835,0.5079294,110.9865,0.06,10439
MA4,76.97213,0,3436,3978,1531,0.2860734,90.79321,0.07,4644
MA4,97.091,1,478,8401,3670,0.5769551,134.0944,0.04,10528
MA3,77.24957,0,3396,12563,4880,0.2840086,91.7216,0.08,15196
MA3,82.2714,0,2630,25512,9374,0.3560677,92.03542,0.06,31443
MA3,84.5,0,2284,7409,2806,0.3821028,93.98375,0.06,8060
MA2,86.23654,0,2029,3472,1475,0.358871,103.7411,0.06,4435
MA4,69.12974,0,4635,18560,7316,0.2655711,79.54,0.07,22145
MA2,69.12974,0,4635,18560,7316,0.2655711,79.54,0.07,22145
MA5,93.95129,0,938,23034,8544,0.5249197,111.9528,0.04,25427
MA5,99.58034,1,76,2728,1233,0.7562317,178.1095,0.03,3063
MA5,98.89675,1,184,5343,2322,0.6447688,158.6694,0.07,6882
MA5,99.5876,1,74,3659,1489,0.7693359,175.9637,0.03,3770
MA3,99.5876,1,74,3659,1489,0.7693359,175.9637,0.03,3770
MA3,97.5804,1,400,3962,1682,0.618627,134.0682,0.05,4930
MA3,99.3467,1,110,10824,4836,0.7188655,170.5097,0.06,12648
MA5,99.3467,1,110,10824,4836,0.7188655,170.5097,0.06,12648
